rank,id,name,category,klass,evidenceType,evi,hum,imp,safe,overall,tier,mechanism,evidence,effect,human,safety,dose,status,accessibility,caveats,hallmarks,keyStudies,sources
71,ginkgo-biloba,Ginkgo Biloba,botanical,Standardized leaf extract,human-rct-hard,58,58,30,70,54,C,Improves microcirculation/cerebral blood flow; antioxidant; PAF antagonism,"For treating existing mild dementia, EGb 761 at 240 mg/day shows benefits on cognition and function. But for prevention it FAILED: the large GEM and GuidAge trials showed it does not prevent dementia in healthy older adults. A symptomatic agent, not a prevention/longevity tool.",Modest symptomatic benefit in established dementia; no preventive benefit,"Positive for treating dementia, clearly negative for prevention",Generally well tolerated; antiplatelet/bleeding risk,EGb 761 240 mg/day,Supplement (Rx phytomedicine in EU),otc,Does not prevent dementia/aging despite popular belief; bleeding risk,Altered intercellular communication; Chronic inflammation; Mitochondrial dysfunction,"GEM Study, JAMA 2008 — Did NOT reduce incidence of dementia/Alzheimer's [https://doi.org/10.1001/jama.2008.683] | GuidAge, Lancet Neurol 2012 (n>2,800) — Long-term EGb 761 did NOT prevent Alzheimer's in elders with memory complaints [https://pubmed.ncbi.nlm.nih.gov/22959217/] | EGb 761 mild-dementia meta-analysis — 240 mg/d superior to placebo for cognition/ADL [https://doi.org/10.1080/15622975.2024.2446830]",https://doi.org/10.1001/jama.2008.683 | https://pubmed.ncbi.nlm.nih.gov/22959217/ | https://doi.org/10.1080/15622975.2024.2446830
72,saffron-crocin,Saffron (Crocin),botanical,Carotenoid-rich spice,human-rct-surrogate,56,58,30,74,54,C,Serotonergic/dopaminergic modulation; antioxidant and anti-inflammatory effects,"A relatively strong RCT base for mood: 20+ RCTs and meta-analyses show large effects for depression and anxiety, comparable to SSRIs with fewer adverse events. Endpoints are psychiatric scales, not aging; trials mostly short and group-clustered.",Clinically meaningful antidepressant/anxiolytic effect,Good RCT/meta evidence for mood; no longevity data,Well tolerated at supplement doses; high doses (>1.5 g) toxic; avoid in pregnancy,~30 mg/day standardized extract,Supplement / spice,otc,Dose-toxicity margin and frequent adulteration; trials short/group-clustered,Chronic inflammation; Altered intercellular communication; Mitochondrial dysfunction,Depression/anxiety meta-analysis — Large effect vs placebo (g~0.99); comparable to SSRIs [https://academic.oup.com/nutritionreviews/article/77/8/557/5499264],https://academic.oup.com/nutritionreviews/article/77/8/557/5499264
73,bacopa-monnieri,Bacopa Monnieri,botanical,Nootropic herb (bacosides),human-rct-surrogate,52,54,30,76,53,C,"Cholinergic modulation, dendritic/synaptic effects, hippocampal antioxidant action","Meta-analyses with chronic (>=12 week) dosing show improved cognition, especially attention speed and memory; ranks among top botanicals for executive function in older adults. Effects modest, require sustained dosing; cognitive surrogates only.",Small improvements in attention speed and memory,Multiple RCTs for cognitive surrogates; no longevity data,Generally well tolerated; dose-related GI effects common,300 mg/day standardized (>=12 weeks),Supplement / Ayurvedic herb,otc,Requires weeks of dosing; GI side effects; modest effect sizes,Chronic inflammation; Altered intercellular communication; Genomic instability,Bacopa cognition meta-analysis — Improved speed of attention with chronic dosing [https://pubmed.ncbi.nlm.nih.gov/24252493/],https://pubmed.ncbi.nlm.nih.gov/24252493/
74,dhea,DHEA,hormone,Adrenal steroid precursor,human-rct-surrogate,56,55,30,70,53,C,Adrenal prohormone converted to androgens/estrogens; weak direct receptor activity,"RCTs and a meta-analysis show at most small, sex-specific effects (modest BMD gain in older women, slight body-composition changes in men) and no consistent benefit for muscle, cognition or well-being. No mortality or anti-aging endpoint met despite age-related decline of DHEA-S.",Small lumbar-spine BMD gain in women; minor body-composition shifts; no longevity effect,Multiple RCTs; marginal sex-specific benefits,Generally tolerated at 50 mg/d; androgenic effects; theoretical hormone-sensitive cancer concern,25-50 mg/day oral,OTC supplement (US); WADA-banned,otc,Popular as anti-aging but evidence shows only marginal surrogate benefits and no survival effect,Altered intercellular communication; Stem cell exhaustion,"Corona et al., JCEM 2013 meta-analysis — Small body-composition gain in men; no clear clinical benefit [https://doi.org/10.1210/jc.2013-1358] | Weiss/Villareal DHEA-bone RCTs (50 mg/d) — Modest lumbar-spine BMD gain in older women; no bone benefit in men [https://pubmed.ncbi.nlm.nih.gov/19321570/]",https://doi.org/10.1210/jc.2013-1358 | https://pubmed.ncbi.nlm.nih.gov/19321570/
75,nmn,NMN,nad,NAD+ precursor,human-rct-surrogate,48,50,38,76,52,C,"Converted to NAD+ to support sirtuins, DNA repair and mitochondrial metabolism","Reliably raises blood NAD+ and a few small RCTs report modest functional signals (walking speed, aerobic capacity), but evidence is limited, mixed and surrogate. No hard-outcome or lifespan data; NMN was never tested in the ITP (its relative NR was, and failed).","Reliably raises NAD+; modest, inconsistent functional gains",Several small short RCTs (surrogate endpoints),Well tolerated up to 1200 mg/d short-term; long-term unknown,250-900 mg/day,Supplement (US regulatory limbo),otc,Raising NAD+ does not prove longevity benefit; trials small/short; US status contested,Deregulated nutrient sensing; Mitochondrial dysfunction; Altered intercellular communication,"Igarashi et al., 2024 RCT — 250 mg/d x12wk maintained walking speed (vs decline on placebo) and improved sleep in older adults [https://doi.org/10.1007/s11357-024-01204-1] | Liao et al., 2021 RCT — Dose-dependent aerobic-capacity gains in runners [https://doi.org/10.1186/s12970-021-00442-4]",https://doi.org/10.1007/s11357-024-01204-1 | https://doi.org/10.1186/s12970-021-00442-4
76,niacin,Niacin (Nicotinic Acid),nad,NAD+ precursor / lipid agent,human-rct-surrogate,60,55,35,55,52,C,Salvaged to NAD+ (Preiss-Handler); activates GPR109A (flushing); modifies lipids,"Striking NAD+-restoration in a rare disease (mitochondrial myopathy) — niacin normalized muscle NAD+ and improved strength. But as a lipid drug, large CV outcome trials (HPS2-THRIVE) found no benefit and more harm, and a metabolite (4PY) may raise CV risk. 'More niacin' is not benign.",Disease-specific NAD+ rescue; null/harmful for general CV prevention at high dose,Strong in a niche deficiency disease; harmful in large CV trials,"Marked flushing; high doses cause hepatotoxicity, hyperglycaemia, gout; CV harm signal",Disease: 750-1000 mg/d; RDA ~14-16 mg,Vitamin / Rx lipid agent,otc,NAD+ rescue specific to mitochondrial myopathy; high-dose niacin failed/harmed in CV trials,Mitochondrial dysfunction; Deregulated nutrient sensing; Altered intercellular communication,"Pirinen et al., Cell Metab 2020 — Restored muscle NAD+ and strength in mitochondrial myopathy [https://www.cell.com/cell-metabolism/fulltext/S1550-4131(20)30190-X] | HPS2-THRIVE, NEJM 2014 — No CV benefit, increased adverse effects (>25,000 patients) [https://www.nejm.org/doi/full/10.1056/NEJMoa1300955]",https://www.cell.com/cell-metabolism/fulltext/S1550-4131(20)30190-X | https://www.nejm.org/doi/full/10.1056/NEJMoa1300955
77,carnosine,Carnosine / L-Carnosine,supplement,Endogenous dipeptide (anti-glycation),human-rct-surrogate,46,48,35,84,52,C,"Anti-glycation carbonyl scavenger, pH buffer, antioxidant, metal chelator","Mechanistically attractive anti-glycation dipeptide. RCTs (2 g/d) show improved glycaemic control and some cognitive-speed gains, but cognitive benefit appeared only in the youngest subgroup; rapidly degraded by serum carnosinase (bioavailability issue).",Modest glycaemic improvement; age-dependent cognitive effect,Small RCTs on glycaemia/cognition; bioavailability-limited,Well tolerated at gram doses,1-2 g/day,OTC supplement,otc,Serum carnosinase rapidly degrades oral carnosine; benefits small and not shown for aging in older adults,Loss of proteostasis; Chronic inflammation; Cellular senescence,de Courten et al. RCT — Improved glucose control in pre-diabetes/T2DM [https://doi.org/10.1016/j.numecd.2023.10.012],https://doi.org/10.1016/j.numecd.2023.10.012
78,hesperidin,Hesperidin,botanical,Citrus flavanone glycoside,human-rct-surrogate,47,48,32,86,52,C,Improves endothelial function and NO bioavailability; anti-inflammatory/antioxidant,"A 2023 dose-response meta-analysis (13 RCTs) found hesperidin significantly lowers LDL (~5 mg/dL); fasting glucose and CRP were non-significant overall (positive only in subgroups), and adhesion molecules were not assessed. Endothelial/FMD improvement (~2-2.5%) is seen in separate small RCTs. Surrogate endpoints; bioavailability poor and microbiome-dependent.",Modest LDL reduction; improved FMD in small RCTs; glucose/inflammation effects inconsistent,Meta-analysis shows LDL reduction; glucose/CRP null overall; no longevity data,Very well tolerated; additive with antihypertensives,~500 mg/day,Supplement / food component,otc,Low/variable bioavailability dependent on gut microbiota,Altered intercellular communication; Chronic inflammation,"Cardiometabolic meta-analysis, Front Nutr 2023 (13 RCTs) — LDL -5.3 mg/dL (significant); fasting glucose and CRP non-significant overall [https://doi.org/10.3389/fnut.2023.1177708] | Citrus/orange-juice RCTs — Improved FMD ~2-2.5% in elevated-BP subjects",https://doi.org/10.3389/fnut.2023.1177708
79,cold-water-immersion,Cold Exposure / Cold-Water Immersion,thermal,Cold hormesis / thermogenesis,human-rct-surrogate,50,55,40,65,52,C,"Cold activates brown fat and mitochondrial biogenesis, raises norepinephrine and improves insulin sensitivity","Small trials show cold activates brown fat, raises energy expenditure and insulin sensitivity (~40% in one mild-cold protocol); norepinephrine/mood effects are reproducible. No human longevity evidence, and acute immersion carries real cardiovascular and drowning risk.",Insulin sensitivity +~40% (mild cold); large transient norepinephrine surge,Surrogate/metabolic RCTs; no longevity/hard-outcome data,"Acute cold-shock, arrhythmia, drowning, post-immersion hypotension; dangerous with cardiac disease","~10-15 min/wk cumulative at ~10-15C, or short plunges",Wellness practice,lifestyle,Metabolic effects real but small/short-lived; no human longevity evidence and non-trivial acute danger,Mitochondrial dysfunction; Deregulated nutrient sensing; Chronic inflammation,"van der Lans et al., JCI 2013 — 10 days mild cold improved insulin sensitivity ~43% and recruited brown fat [https://doi.org/10.1172/JCI68993]",https://doi.org/10.1172/JCI68993
80,nr-pterostilbene,NR + Pterostilbene,nad,NAD+ precursor + stilbenoid combination,human-rct-surrogate,48,52,33,76,51,C,NR raises NAD+ while pterostilbene is proposed to activate sirtuins (synergy unproven),"Reliably raises NAD+ and is safe, but human clinical benefit is weak and synergy unproven — the pivotal NAFLD RCT MISSED its primary endpoint (no change in liver fat).",Reliable NAD+ rise; weak/subset-only functional signals; primary NAFLD endpoint negative,Several RCTs; safe but mostly null clinical outcomes,Well tolerated,250 mg NR + 50 mg pterostilbene/day,Branded supplement (Basis),otc,Heavily marketed but pivotal trial missed its primary endpoint; pterostilbene's added benefit unproven,Deregulated nutrient sensing; Mitochondrial dysfunction; Chronic inflammation,"Dellinger et al., Hepatology 2023 — NRPT missed primary NAFLD endpoint (hepatic fat unchanged) [https://onlinelibrary.wiley.com/doi/full/10.1002/hep.32778]",https://onlinelibrary.wiley.com/doi/full/10.1002/hep.32778
81,glycine,Glycine,supplement,Amino acid (glutathione precursor),animal-other,46,38,40,88,51,C,Glutathione precursor; one-carbon/methionine modulation; possible methionine-restriction mimetic,Promising animal data — glycine modestly extended median lifespan in the ITP and in worms. Human data limited to short-term metabolic/sleep endpoints and to its role within GlyNAC; no standalone longevity trials.,Modest mouse median-lifespan extension; human effects metabolic/sleep only,No human longevity trials,Very safe; GI upset at high doses,3-15 g/day,OTC supplement (GRAS),otc,Most aging evidence animal/mechanistic or bundled with NAC,Loss of proteostasis; Mitochondrial dysfunction; Deregulated nutrient sensing,NIA ITP 2019 — Small but significant median-lifespan increase in mice [https://pubmed.ncbi.nlm.nih.gov/30916479/],https://pubmed.ncbi.nlm.nih.gov/30916479/
82,taurine,Taurine,supplement,Amino-acid derivative,animal-other,46,35,45,88,51,C,"Osmolyte/antioxidant supporting mitochondria, calcium handling and reduced senescence","A 2023 Science paper showed taurine extended mouse lifespan ~10-12% and improved healthspan in mice/monkeys — but a 2025 NIH follow-up found taurine does NOT decline with age in humans/monkeys/mice, undercutting the core premise. No human lifespan RCT.",~+10-12% mouse lifespan; human longevity effect unknown,No human lifespan RCT; 2025 data question the rationale,Very safe at gram doses,1-6 g/day (RCTs ongoing),OTC supplement (GRAS),otc,High-profile 2023 result contested by 2025 human/primate data — strong hype-vs-evidence gap,Mitochondrial dysfunction; Cellular senescence; Chronic inflammation,"Singh et al., Science 2023 — +10-12% mouse median lifespan; healthspan gains [https://doi.org/10.1126/science.abn9257] | Fernandez et al., Science 2025 — Taurine does not decline with age in humans/primates (contests biomarker premise) [https://doi.org/10.1126/science.adl2116]",https://doi.org/10.1126/science.abn9257 | https://doi.org/10.1126/science.adl2116
83,panax-ginseng,Panax Ginseng,botanical,Adaptogenic herb (ginsenosides),human-rct-surrogate,50,52,30,72,51,C,"Ginsenoside effects on CNS, anti-fatigue, anti-inflammatory and antioxidant signaling","Meta-analyses suggest modest benefits for cognition and fatigue, with small trials showing improved memory and reduced stress. Trials are heterogeneous in preparation/dose; outcomes are cognitive/symptom surrogates with no longevity data.",Modest cognitive and anti-fatigue effects,Multiple RCTs for cognition/fatigue surrogates; no longevity data,"Generally safe; insomnia, headache; may lower glucose; warfarin interaction",200-400 mg/day standardized extract,Supplement / traditional medicine,otc,Heterogeneous preparations and modest effect sizes,Chronic inflammation; Altered intercellular communication; Mitochondrial dysfunction,"Cognition meta-analysis, Phytother Res 2024 — Improves aspects of cognitive function vs control [https://doi.org/10.1002/ptr.8359]",https://doi.org/10.1002/ptr.8359
84,protein-methionine-restriction,Protein / Methionine Restriction,diet,Selective amino-acid restriction,animal-other,50,45,50,60,51,C,"Lowering protein/methionine downregulates mTORC1 and IGF-1, shifting toward stress resistance and autophagy","Methionine restriction robustly extends lifespan in rodents/flies. Short human trials lower IGF-1/LDL, and cohorts link high protein in midlife to higher mortality but the OPPOSITE after 65. Strongly age-dependent; no human lifespan RCT.",Animal lifespan +30-40% (methionine restriction); human surrogate/age-stratified signals,Short metabolic trials + cohorts; no lifespan RCT; age-dependent,"Risk of sarcopenia/frailty, esp. in elderly; hard to achieve without near-vegan diet",Moderate protein (~0.8 g/kg) midlife; plant-forward,Investigational,lifestyle,Strongly age-dependent — beneficial midlife but harmful (sarcopenia) in older adults,Deregulated nutrient sensing; Disabled macroautophagy; Cellular senescence; Loss of proteostasis,"Levine et al., Cell Metab 2014 (NHANES) — High protein at 50-65 linked to higher mortality; reversed after 65 [https://doi.org/10.1016/j.cmet.2014.02.006]",https://doi.org/10.1016/j.cmet.2014.02.006
85,ketogenic-diet,Ketogenic Diet,diet,Very-low-carb high-fat diet,human-cohort,50,52,38,65,51,C,"Carb restriction shifts fuel to ketones (BHB, an HDAC inhibitor/signaling molecule)","Longevity evidence is mixed/weak: one NHANES analysis linked a higher ketogenic ratio to ~24% lower mortality, yet other cohorts find animal-based very-low-carb associated with HIGHER mortality, and keto often raises LDL. Mouse cyclic-keto reduced midlife mortality. No long-term human RCT for lifespan.",Mixed: one cohort -24% mortality; others higher; LDL often rises,Conflicting cohort data; no lifespan RCT,"LDL elevation in many; keto flu, nutrient gaps; fat source matters","~20-50 g carb/day, high fat",Investigational for longevity,lifestyle,Longevity evidence contradictory; CV safety depends heavily on fat source,Deregulated nutrient sensing; Mitochondrial dysfunction; Chronic inflammation; Epigenetic alterations,"Newman et al., Cell Metab 2017 (mice) — Cyclic keto reduced midlife mortality and improved memory in aging mice [https://doi.org/10.1016/j.cmet.2017.08.004] | Roberts et al., Cell Metab 2017 (mice) — Continuous keto extended median lifespan and preserved function in adult mice [https://doi.org/10.1016/j.cmet.2017.08.005] | Seidelmann et al., Lancet PH 2018 — U-shaped carb-mortality; animal-based low-carb worse [https://doi.org/10.1016/S2468-2667(18)30135-X]",https://doi.org/10.1016/j.cmet.2017.08.004 | https://doi.org/10.1016/j.cmet.2017.08.005 | https://doi.org/10.1016/S2468-2667(18)30135-X
86,contrast-therapy,Contrast Therapy (Hot-Cold),thermal,Alternating thermal hormesis,human-rct-surrogate,46,52,28,80,51,C,Alternating vasodilation/vasoconstriction acts as a vascular pump and modulates autonomic tone,"Meta-analyses in athletes show contrast therapy reduces muscle soreness/strength loss better than passive rest, but not clearly better than cold-water immersion. Evidence is confined to short-term exercise recovery; no aging/healthspan data.",Moderate reduction in soreness/strength loss vs rest,Recovery RCTs only; no longevity evidence,Generally safe; combines heat and cold cautions,"~1 min cold / 1-2 min hot, ~10-15 min total",Sports-recovery practice,lifestyle,Benefits limited to acute recovery; no evidence it affects aging biology,Altered intercellular communication; Chronic inflammation,"Bieuzen et al., PLOS ONE 2013 — Reduced soreness/strength loss vs passive recovery [https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0062356]",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0062356
87,msc-therapy,Mesenchymal Stem Cell Therapy,frontier,Allogeneic cell therapy,human-rct-surrogate,52,50,45,55,51,C,Infused MSCs act mainly via paracrine/immunomodulatory signaling to reduce inflammation and improve function,"Longeveron's randomized Phase 2b (n=148, age 70+) for aging frailty did NOT meet its prespecified primary 6-minute-walk endpoint overall, but showed a significant dose-response — higher-dose arms improved 6MWT vs placebo with supportive patient-reported outcomes (Cell Stem Cell 2026). Among the better-controlled aging cell-therapy trials, but on functional surrogates; the wider 'stem cell clinic' market is largely unproven and risky.",Dose-dependent 6-min-walk improvement (higher-dose arms); primary endpoint not met overall,One randomized Phase 2b positive on function; no hard-outcome/longevity data,Generally well tolerated; infusion reactions; unregulated clinics pose real risks,Single IV infusion of allogeneic MSCs,Investigational (frailty); many illegitimate clinics,experimental,Primary endpoint missed; benefit limited to higher-dose subgroups on functional surrogates; commercial market largely unproven/risky,Chronic inflammation; Stem cell exhaustion; Altered intercellular communication,"Longeveron Phase 2b (Lomecel-B), Cell Stem Cell 2026 — Primary 6MWT endpoint not met overall; significant dose-response, higher-dose arms improved 6MWT vs placebo [https://doi.org/10.1016/j.stem.2026.01.017]",https://doi.org/10.1016/j.stem.2026.01.017
88,quercetin,Quercetin,senolytic,Flavonol polyphenol,human-rct-surrogate,45,45,35,80,50,C,"Weak standalone senolytic (potentiated by dasatinib); anti-inflammatory, mild BP/glucose effects","As a standalone senolytic, quercetin is weak and cell-type-selective; most human senolytic data come from D+Q, not quercetin alone. Standalone RCTs show modest BP/glucose effects; bioavailability is poor.","Modest, cell-type-selective senolysis; small BP/glucose effects",Limited standalone; mostly studied within D+Q,Very safe at supplement doses; CYP3A4/P-gp interactions,500-1000 mg/day,Widely sold supplement,otc,Poor bioavailability and weak standalone senolytic activity; 'food senolytic' marketing overstated,Cellular senescence; Chronic inflammation; Altered intercellular communication,"Zhu et al., Aging Cell 2015 — Senolytic for senescent endothelial cells but not preadipocytes; D+Q broader [https://onlinelibrary.wiley.com/doi/10.1111/acel.12344] | Quercetin BP meta-analysis — SBP -3 mmHg at >=500 mg/day [https://doi.org/10.1161/JAHA.115.002713]",https://onlinelibrary.wiley.com/doi/10.1111/acel.12344 | https://doi.org/10.1161/JAHA.115.002713
89,ubx1325,UBX1325 (foselutoclax),senolytic,Intravitreal BCL-xL inhibitor,human-rct-surrogate,58,40,35,70,50,C,Inhibits BCL-xL to kill senescent cells in diseased retinal vasculature,"The most advanced senolytic in human trials — but in eye disease, on a surrogate (visual acuity), via local injection. In Phase 2b ASPIRE a single injection MISSED the primary non-inferiority endpoint vs aflibercept at weeks 20/24, reaching non-inferiority (not superiority) only by week 36. Says little about systemic aging.","~+5 letters visual-acuity gain; missed primary endpoint (reached non-inferiority, not superiority, to aflibercept by wk36)","Controlled Phase 2/2b ophthalmology data (local, not systemic)",Well tolerated intravitreally,Single intravitreal 10 ug injection,Investigational (DME),clinic-only,Strongest human senolytic data but confined to retinal disease and surrogate endpoints,Cellular senescence; Altered intercellular communication; Chronic inflammation,"ASPIRE Phase 2b 2025 (n=52) — +5.2 letters at 24wk; missed the primary non-inferiority endpoint at wk20/24, reached non-inferiority by wk36; no intraocular inflammation [https://clinicaltrials.gov/study/NCT06011798]",https://clinicaltrials.gov/study/NCT06011798
90,ca-akg,Calcium Alpha-Ketoglutarate,supplement,TCA-cycle metabolite salt,animal-other,44,35,48,82,50,C,"Co-substrate for dioxygenases (TET/JmjC); modulates epigenetic methylation, mTOR and inflammation",Best evidence is animal: in aged mice Ca-AKG extended lifespan ~12% and cut frailty ~46%. Human evidence is weak — the cited 'biological age -8 years' came from a small uncontrolled retrospective pilot; the controlled RCT (ABLE) is unpublished.,"Mouse healthspan/frailty large, lifespan ~12%; human 'age reversal' uncontrolled",Only a small uncontrolled retrospective pilot,Well tolerated; AKG is endogenous,~1 g/day sustained-release,OTC supplement,otc,Marketed '8 years younger' rests on an uncontrolled n=42 pilot; controlled proof pending,Epigenetic alterations; Chronic inflammation; Deregulated nutrient sensing,"Asadi Shahmirzadi et al., Cell Metab 2020 — Reduced frailty ~46% and extended lifespan (significant in females: median +16.6%; NS in males) [https://pubmed.ncbi.nlm.nih.gov/32877690/]",https://pubmed.ncbi.nlm.nih.gov/32877690/
91,thymosin-alpha-1,Thymosin Alpha-1,hormone,Immunomodulatory peptide,human-rct-hard,56,50,30,65,50,C,"Modulates T-cell maturation and dendritic/TLR signaling, restoring lymphocyte function","Approved in several countries for hepatitis B/C with a good safety record, but its 'immune rejuvenation' longevity claim is weakly supported: the large Phase-3 TESTS sepsis trial found no overall mortality reduction. No RCT shows it slows aging in healthy adults.",Restores T-cell function in immunocompromised states; no proven mortality/anti-aging benefit,Approved abroad for hepatitis; sepsis/COVID data largely neutral,Very well tolerated; injection-site reactions; not FDA-approved in US,1.6 mg SC twice weekly (hepatitis regimen),Approved abroad; not FDA-approved,clinic-only,"Real immunomodulatory effect, but 'anti-aging' use rests on weak/negative controlled evidence",Altered intercellular communication; Chronic inflammation,"Wu et al., TESTS, BMJ 2025 (n=1,106) — 28-day all-cause mortality 23.4% vs 24.1% (HR 0.99); no overall sepsis-mortality reduction [https://pubmed.ncbi.nlm.nih.gov/39814420/]",https://pubmed.ncbi.nlm.nih.gov/39814420/
92,pqq,PQQ (Pyrroloquinoline Quinone),supplement,Redox cofactor (mitochondrial biogenesis),human-rct-surrogate,42,45,35,80,49,C,Stimulates mitochondrial biogenesis (PGC-1a/CREB) and acts as a redox antioxidant,"One of few compounds shown to stimulate mitochondrial biogenesis in mammals. Small human RCTs report improved fatigue/sleep and raised BDNF/cognition in MCI, but all are small, short and surrogate.",Modest fatigue/sleep and BDNF/cognitive-biomarker improvements,Only small short-term RCTs,Well tolerated; long-term data limited,10-20 mg/day,OTC supplement (GRAS),otc,"Tiny, short trials; clinical longevity relevance unproven",Mitochondrial dysfunction; Chronic inflammation,"Nakano et al. fatigue RCT — 20 mg/d x8wk improved fatigue/sleep [https://doi.org/10.31989/ffhd.v2i8.81] | MCI RCT 2024 — Raised serum BDNF, improved some cognitive markers [https://pubmed.ncbi.nlm.nih.gov/38908296/]",https://doi.org/10.31989/ffhd.v2i8.81 | https://pubmed.ncbi.nlm.nih.gov/38908296/
93,resveratrol,Resveratrol,botanical,Stilbenoid polyphenol,animal-other,46,45,32,80,49,C,Proposed indirect AMPK/SIRT1 activation; direct sirtuin activation now largely discredited,The flagship 'sirtuin activator' story collapsed (the SIRT1 assays were artifacts). It failed to extend lifespan in healthy mice (ITP) and has poor bioavailability; human RCTs are mixed/mostly null. A poster child of hype outrunning evidence.,None demonstrated in healthy mammals,"Many RCTs, mostly null; no convincing lifespan/hard-outcome data",Generally safe to ~1 g/day; GI upset; CYP inhibition (bleeding risk),150-500 mg/day,OTC supplement,otc,Poor bioavailability and debunked sirtuin mechanism; failed translation,Deregulated nutrient sensing; Mitochondrial dysfunction; Chronic inflammation,"Strong et al., ITP 2013 — No lifespan extension in healthy mice [https://pubmed.ncbi.nlm.nih.gov/22451473/]",https://pubmed.ncbi.nlm.nih.gov/22451473/
94,egcg-green-tea-catechins,EGCG (Green Tea Catechins),botanical,Flavan-3-ol polyphenol,human-rct-surrogate,50,52,35,58,49,C,"Antioxidant/metabolic signaling (Nrf2, NF-kB, AMPK); iron chelation","As concentrated extract, EGCG modestly improves some inflammatory/lipid markers, but the dominant clinical signal is dose-dependent HEPATOTOXICITY above ~800 mg/day. Whole-beverage green tea has far better safety and cohort data (separate entry).",Small lipid/oxidative improvements,"RCTs on biomarkers; safety, not efficacy, is the defining issue","Dose-dependent hepatotoxicity above ~800 mg/d; take with food, avoid fasted",<=300-400 mg/d EGCG (beverage-equivalent),Supplement (high-dose flagged by EFSA),otc,Hepatotoxicity at high doses; pro-oxidant at high concentrations,Chronic inflammation; Genomic instability; Cellular senescence,EFSA/COT statement — No hepatotoxicity below 800 mg/d EGCG; above that raises liver-injury markers [https://doi.org/10.2903/j.efsa.2018.5239],https://doi.org/10.2903/j.efsa.2018.5239
95,rhodiola-rosea,Rhodiola Rosea,botanical,Adaptogenic herb,human-rct-surrogate,46,48,28,76,49,C,"Monoaminergic modulation; anti-fatigue, antioxidant and redox-balancing effects","Moderate, outcome-specific evidence for fatigue, stress and mild endurance/cognitive benefits; reviews note positive but methodologically limited trials (small, heterogeneous, some industry-funded). Symptom/performance surrogates only.",Modest reductions in fatigue/stress; small ergogenic effects,Several small RCTs; quality limited; no longevity data,Generally well tolerated; occasional jitteriness/insomnia,200-600 mg/day standardized,Supplement / traditional medicine,otc,Trials small/heterogeneous; standardization varies widely,Altered intercellular communication; Mitochondrial dysfunction; Chronic inflammation,Fatigue systematic review — Positive but methodologically weak/heterogeneous trials [https://link.springer.com/article/10.1186/1472-6882-12-70],https://link.springer.com/article/10.1186/1472-6882-12-70
96,fisetin,Fisetin,senolytic,Flavonol (senolytic),animal-itp,48,30,50,70,48,C,Senolytic flavonoid that clears senescent cells; antioxidant/Nrf2 effects,"Strong preclinical credentials but a critical NEGATIVE ITP result: oral fisetin did not extend mouse lifespan in the rigorous NIA program. Human senolytic trials (AFFIRM) are ongoing/unpublished, so there is no positive human efficacy yet — popular hype outruns evidence.",Mixed in mice; NULL in the gold-standard ITP,No published positive human RCT (AFFIRM unpublished),"Generally safe, OTC; intermittent high doses in trials; long-term unknown","Trials ~20 mg/kg x2 days, intermittent; OTC 100-500 mg/day",Supplement; investigational senolytic,otc,The most rigorous animal test (ITP) was NEGATIVE; human efficacy unproven; poor bioavailability,Cellular senescence; Chronic inflammation; Altered intercellular communication,"Yousefzadeh et al., EBioMedicine 2018 — Most potent senolytic flavonoid; extended lifespan in progeroid/aged mice [https://www.sciencedirect.com/science/article/pii/S2352396418303736] | NIA ITP 2023 — Fisetin did NOT extend lifespan in genetically heterogeneous mice [https://doi.org/10.1007/s11357-023-01011-0]",https://www.sciencedirect.com/science/article/pii/S2352396418303736 | https://doi.org/10.1007/s11357-023-01011-0
97,gynostemma-pentaphyllum,Gynostemma (Jiaogulan),botanical,Adaptogenic herb (gypenosides),human-rct-surrogate,44,45,35,72,48,C,AMPK activation (gypenosides); improves mitochondrial respiration and lipid/glucose metabolism,"A plausible AMPK-activating botanical: a small crossover RCT showed increased muscle AMPK phosphorylation and improved mitochondrial function, and an Actiponin RCT showed anti-obesity effects. Trials small/short; no lifespan data.",Modest metabolic/performance and body-fat effects,A few small RCTs on metabolic surrogates; no longevity data,Generally well tolerated short term; mild GI,~450 mg/day standardized extract,Supplement / traditional tea,otc,"Small short trials (key AMPK RCT n=16, healthy untrained males only); variable gypenoside standardization",Deregulated nutrient sensing; Mitochondrial dysfunction; Chronic inflammation,AMPK RCT 2023 (n=16) — Raised post-exercise muscle AMPK and O2 flux; lowered glucose/leptin [https://pmc.ncbi.nlm.nih.gov/articles/PMC10675532/],https://pmc.ncbi.nlm.nih.gov/articles/PMC10675532/
